Montag,Lunes
Dienstag,Martes
Mittwoch,Miércoles
Donnerstag,Jueves
Freitag,Viernes
Samstag,Sábado
Sonntag,Domingo
Wochenende,Fin de semana
Januar,enero
Februar,Febrero
März,Marzo
April,Abril
Mai,Mayo
Juni,Junio
Juli,Julio
August,Agosto
September,Septiembre
Oktober,Octubre
November,Noviembre
Dezember,Diciembre
Was,Qué
Welche,Cuál
Wo,Dónde
Wann,Cuándo
Warum,Por qué
Wer,Quién
Wem,De quién
Wessen,De quién
Wen,A quién
Woher,De dénde
Schwarz,Negro
Grau,Gris
Violett,Violeta
Weiss,Blanco
Grün,Verde
Orange,Naranja
Rot,Rojo
Braun,Marrón
Hellblau,Celeste
Blau,Azul
Gelb,Amarillo
Brünett,Moreno
Gold,Oro
Purpurn,Púrpura
Beige,Beige
Rosa,Rosa
Türkis,Turquesa
Silber,Plata
Gross,Grande
Breit,Ancho
Riesig,Enorme
Klein,Pequeño
Winzig,Enano
Schwer,Pesado
Leicht,Ligero
Dick,Gordo
Dünn,Delgado
Mager,Magro
Hoch,Alto
Niedrig,Bajo
Kurz,Corto
Lang,Largo
Mittelgross,Mediano
Eng,Estrecho
Kuli,Bolígrafo
Bleistift,Lápiz
Spitzer,Sacapuntas
Radiergummi,Goma
Buch,Libro
Wörterbuch,Diccionario
Kursbuch,Libro de texto
Tisch,Mesa
Stuhl,Silla
Tafel,Pizarra
Fenster,Ventana
Tür,Puerta
Kreide,Tiza
Schwamm,Esponja
Tasche,Maleta
Rucksack,Mochila
Materialmappe,Carpeta
Notizbuch,Cuaderno
Papier,Papel
Blatt,Hoja
Lehrer,Profesor
Dozent,Docente
Student,Estudiante
Studentin,Estudiante
Schüler,Alumno
Schülerin,Alumna
Schere,Tijeras
Lineal,Regla
Haar,Pelo
Haare,Pelos
Kopf,Cabeza
Auge,Ojo
Augen,Ojos
Ohr,Oreja
Ohren,Orejas
Stirn,Frente
Nase,Nariz
Mund,Boca
Zahn,Diente
Zähne,Dientes
Lippen,Labios
Kinn,Barbilla
Gesicht,Cara
Hals,Cuello
Schulter,Hombro
Rücken,Espalda
Arm,Brazo
Arme,Brazos
Hand,Mano
Hände,Manos
Bauch,Barriga
Finger,Dedo
Popo,Culo
Popos,Culos
Hintern,Trasero
Bein,Pierna
Beine,Piernas
Fuss,Pie
Füsse,Pies
Glücklich,Feliz
Traurig,Triste
Müde,Cansado
Hungrig,Hambriento
Durstig,Sediento
Verärgert,Enfadado
Böse,Enfadado
Krank,Enfermo
Gesund,Saludable
Frustriert,Frustrado
Motiviert,Motivado
Gestresst,Estresado
Nervös,Nervioso
Relaxt,Relajado
Entspannt,Relajado
Erkältet,Resfriado
Kalt,Frío
Warm,Caliente
Fakultät,Facultad
Universität,Universidad
Klassenraum,Clase
Bibliothek,Biblioteca
Cafeteria,Cafetería
Hof,Patio
Sekretariat,Secretaría
Dekanat,Decanato
Toilette,Cuarto de baño
Büro,Despacho
Flur,Pasillo
Supermarkt,Supermercado
Restaurant,Restaurante
Bäckerei,Panadería
Metzgerei,Carnicería
Apotheke,Farmacia
Krankenhaus,Hospital
Rathaus,Ayuntamiento
Theater,Teatro
Kino,Cine
Museum,Museo
Schwimmbad,Piscina
Kirche,Iglesia
Kneipe,Pub
Tennisplatz,Pista de tenis
Fussballplatz,Campo de fútbol
Golfplatz,Campo de gold
Diskothek,Discoteca
Geschäft,Tienda
Einkaufszentrum,Centro comercial
Kindergarten,Guardería
Schule,Colegio
Lesen,Leer
Spielen,Jugar
Zappen,Zapear
Lernen,Aprender
Studieren,Estudiar
Trinken,Beber
Essen,Comer
Rauchen,Fumar
Tanzen,Bailar
Sprechen,Hablar
Chatten,Chatear
Tratschen,Cotillear
Quatschen,Charlar
Faulenzen,Vaguear
Relaxen,Relajarse
Fotografieren,Fotografiar
Telefonieren,Llamar por teléfono
Schreiben,Escribir
Notieren,Apuntar
Emailen,Enviar un email
Hören,Escuchar
Kochen,Cocinar
Singen,Cantar
Gehen,Ir
Machen,Hacer
Schwimmen,Nadar
Baden,Bañarse
Duschen,Ducharse
Laufen,Correr
Joggen,Hacer footing
Malen,Pintar
Grillen,Hacer una barbacoa
Fotokopieren,Fotocopiar
Suchen,Buscar
Fragen,Preguntar
Antworten,Responder
Öffnen,Abrir
Schliessen,Cerrar
Schlafen,Dormir
Fahren,Conducir
Denken,Pensar
Besuchen,Visitar
Besichtigen,Visitar
