
Monday,Lunes
Tuesday,Martes
Wednesday,Miércoles
Thursday,Jueves
Friday,Viernes
Saturday,Sábado
Sunday,Domingo
Weekend,Fin de semana
January,Enero	
February,Febrero
March,Marzo
April,Abril
May,Mayo
June,Junio
July,Julio
August,Agosto
September,Septiembre
Cctober,Octubre
November,Noviembre
December,Diciembre
What,Qué
Which,Cuál
Where,Dónde
When,Cuándo
Why,Por qué
Who,Quién
Whom,Quién
Whose,De quién
Black,Negro
Grey,Gris
Violet,Violeta
White,Blanco
Green,Verde
Orange,Naranja
Red,Rojo
Brown,Marrón
Skyblue,Celeste
Blue,Azul
Yellow,Amarillo
Pink,Rosa
Purple,Púrpura
Beige,Beige
Turquoise,Turquesa
Big,Grande
Large,Ancho
Huge,Enorme
Small,Pequeño
Tiny,Enano
Heavy,Pesado
Light,Ligero
Thick,Gordo
Thin,Delgado
Skinny,Delgado
Wide,Ancho
High,Alto
Low,Bajo
Tall,Alto
Short,Corto
Long,Largo
Medium,Mediano
Narrow,Estrecho
Pen,Bolígrafo
Pencil,Lápiz
Sharpener,Sacapuntas
Rubber,Goma
Book,Libro
Dictionary,Diccionario
Coursebook,Libro de texto
Table,Mesa
Chair,Silla
Blackboard,Pizarra
Window,Ventana
Door,Puerta
Chalk,Tiza
Sponge,Esponja
Bag,Maleta
Backpack,Mochila
Folder,Carpeta
Notebook,Cuaderno
Paper,Papel
Sheet,Hoja
Teacher,Profesor
Lecturer,Docente
Student,Estudiante
Learner,Alumno
Scissors,Tijeras
Ruler,Regla
Hair,Pelo
Hairs,Pelos
Head,Cabeza
Heads,Cabezas
Eye,Ojo
Eyes,Ojos
Ear,Oreja
Ears,Orejas
Forehead,Frente
Nose,Nariz
Mouth,Boca
Tooth,Diente
Teeth,Dientes
Lips,Labios
Chin,Barbilla
Face,Cara
Neck,Cuello
Shoulder,Hombro
Back,Espalda
Arm,Brazo
Arms,Brazos
Hand,Mano
Hands,Manos
Belly,Barriga
Finger,Dedo
Bottom,Culo
Bottoms,Culos
Leg,Pierna
Legs,Piernas
Foot,Pie
Feet,Pies
Happy,Feliz
Sad,Triste
Tired,Cansado
Hungry,Hambriento
Thirsty,Sediento
Angry,Enfadado
Sick,Enfermo
Healthy,Saludable
Frustrated,Frustrado
Motivated,Motivado
Stressed,Estresado
Nervous,Nervioso
Relaxed,Relajado
Cold,Frío
Warm,Caliente
Faculty,Facultad
University,Universidad
Classroom,Clase
Library,Biblioteca
Canteen,Cafetería
Courtyard,Patio
Secretariat,secretaría
Denaery,Decanato
Toilet,Cuarto de baño
Office,Despacho
Corridor,Pasillo
Supermarket,Supermercado
Restaurant,Restaurante
Bakery,Panadería
Pharmacy,Farmacia
Hospital,Hospital
Council,Ayuntamiento
Theatre,Teatro
Cinema,Cine
Museum,Museo
Pool,Piscina
Church,Iglesia
Pub,Pub
Disco,Discoteca
Shop,Tienda
Mall,Centro comercial
Nursery,Guarderia
School,Colegio
Read,Leer
Play,Jugar
Zap,Zapear
Learn,Aprender
Study,Estudiar
Drink,Beber
Eat,Comer
Smoke,Fumar
Dance,Bailar
Talk,Hablar
Chat,Chatear
Gossip,Cotillear
Relax,Relajarse
Photograph,Fotografiar
Telephone,Llamar por teléfono
Write,Escribir
Email,Enviar un email
Listen,Escuchar
Cook,Cocinar
Sing,Cantar
Go,Ir
Do,Hacer
Make,Hacer
Swim,Nadar
Bathe,Bañarse
Shower,Ducharse
Run,Correr
Jog,Hacer footing
Paint,Pintar
Photocopy,Fotocopiar
search,Buscar
Ask,Preguntar
Answer,Responder
Open,Abrir
Close,Cerrar
Sleep,Dormir
Drive,Conducir
Think,Pensar
Visit,Visitar
