montag,lunes
dienstag,martes
mittwoch,miercoles
donnerstag,jueves
freitag,viernes
samstag,sabado
sonntag,domingo
wochenende,fin de semana
januar,enero
februar,febrero
maerz,marzo
april,abril
mai,mayo
juni,junio
juli,julio
august,agosto
september,septiembre
oktober,octubre
november,noviembre
dezember,diciembre
was,que
welche,cual
wo,donde
wann,cuando
warum,por que
wer,quien
wem,de quien
wessen,de quien
wen,a quien
woher,de donde
schwarz,negro
grau,gris
violett,violeta
weiss,blanco
gruen,verde
orange,naranja
rot,rojo
braun,marron
hellblau,celeste
blau,azul
gelb,amarillo
bruenett,moreno
gold,oro
purpurn,purpura
beige,beige
rosa,rosa
tuerkis,turquesa
silber,plata
gross,grande
breit,ancho
riesig,enorme
klein,pequeño
winzig,enano
schwer,pesado
leicht,ligero
dick,grueso
duenn,delgado
mager,magra
hoch,alto
niedrig,bajo
kurz,bajo
lang,largo
mittelgross,mediano
eng,estrecho
kugelschreiber,boligrafo
bleistift,lapiz
spitzer,sacapuntas
radiergummi,goma
buch,libro
woerterbuch,diccionario
kursbuch,libro de texto
tisch,mesa
stuhl,silla
tafel,pizarra
fenster,ventana
tuer,puerta
kreide,tiza
schwamm,esponja
tasche,maleta
rucksack,mochila
materialmappe,carpeta
notizbuch,cuaderno
papier,papel
blatt,hoja
lehrer,profesor
dozent,docente
student,estudiante
studentin,estudiante
schueler,alumno
schuelerin,alumna
schere,tijeras
lineal,regla
haar,pelo
haare,pelos
kopf,cabeza
koepfe,cabezas
auge,ojo
augen,ojos
ohr,oreja
ohren,orejas
stirn,frente
nase,nariz
mund,boca
zahn,diente
zaehne,dientes
lippen,labios
kinn,barbilla
gesicht,cara
hals,cuello
schulter,hombro
ruecken,espalda
arm,brazo
arme,brazos
hand,mano
haende,manos
bauch,barriga
finger,dedo
popo,culo
popos,culos
bein,pierna
beine,piernas
fuss,pie
fuesse,pies
gluecklich,feliz
traurig,triste
muede,cansado
hungrig,hambriento
durstig,sediento
veraergert,enfadado
boese,enfadado
krank,enfermo
gesund,saludable
frustriert,frustrado
motiviert,motivado
gestresst,estresado
nervoes,nervioso
relaxt,relajado
entspannt,relajado
kalt,frio
warm,caliente
fakultaet,facultad
universitaet,universidad
klassenraum,clase
bibliothek,biblioteca
cafeteria,cafeteria
hof,patio
sekretariat,secretariado
dekanat,decanato
toilette,cuarto de baño
buero,despacho
flur,pasillo
supermarkt,supermercado
restaurant,restaurante
baeckerei,panaderia
apotheke,farmacia
krankenhaus,hospital
rathaus,ayuntamiento
theater,teatro
kino,cine
museum,museo
schwimmbad,piscina
kirche,iglesia
Kneipe,pub
diskothek,discoteca
geschaeft,tienda
einkaufszentrum,centro comercial
kindergarten,guarderia
schule,colegio
lesen,leer
spielen,jugar
zappen,zapear
lernen,aprender
studieren,estudiar
trinken,beber
essen,comer
rauchen,fumar
tanzen,bailar
sprechen,hablar
chatten,chatear
tratschen,cotillear
relaxen,relajarse
fotografieren,fotografiar
telefonieren,llamar por telefono
schreiben,escribir
emailen,enviar un email
hoeren,escuchar
kochen,cocinar
singen,cantar
gehen,ir
machen,hacer
schwimmen,nadar
baden,bañarse
duschen,ducharse
laufen,correr
joggen,hacer footing
malen,pintar
fotokopieren,fotocopiar
suchen,buscar
fragen,preguntar
antworten,responder
oeffnen,abrir
schliessen,cerrar
schlafen,dormir
fahren,conducir
denken,pensar
besuchen,visitar
