abandon,abandonar
abandoned,abandonado
ability,habilidad
able,capaz
about,sobre(prep)
above,arriba
abroad,en el extranjero
absence,ausencia 
absent,ausente
absolute,absoluto
absolutely,absolutamente
absorb,absorber
abuse,abusar  
academic,academico
accent,acento
accept,aceptar
acceptable,aceptable 
access,acceso
accident,accidente
accidental,accidental  
accidentally,accidentalmente
accommodation,alojamiento 
accompany,acompañar 
account,cuenta
accurate,preciso 
accurately,con precision
accuse,acusar 
achieve,lograr 
achievement,logro 
acid,acido 
acknowledge,reconocer
acquire,adquirir 
across a través de(prep) 
act,actuar 
action,accion 
active,activo 
actively,activamente 
activity,actividad 
actor,actor
actress,actriz 
actual,actual 
actually,en realidad 
adapt,adaptarse 
add,añadir 
addition,adicion
additional,adicional 
address,direccion 
adequate,adecuado 
adequately,adecuadamente 
adjust,ajustar 
admiration,admiracion 
admire,admirar 
admit,admitir 
adopt,adoptar
adult,adulto 
advance,avance 
advanced,avanzado 
advantage,ventaja 
adventure,aventura 
advertise,anunciar 
advertisement,anuncio 
advertising,publicidad 
advice,consejo 
advise,acosenjar 
affair,asunto
affect,afectar
affection,afecto
afford,permitirse
afraid,tener miedo 
after,despues
afternoon,tarde 
afterwards,despues 
again,otra vez 
against,contra(prep) 
age,edad  
agency,agencia 
agent,agente 
aggressive,agresivo 
ago,hace(past) 
agree,estar de acuerdo 
agreement,acuerdo 
ahead,hacia adelante 
aid,ayuda 
aim,apuntar
air,aire 
aircraft,aeroplano 
airport,aeropuerto 
alarm n,alarma 
alarmed,alarmado 
alarming,alarmante 
alcohol,alcohol 
alcoholic,alcoholico 
alive,vivo 
all,todo 
allied,aliado 
allow,permitir
ally,aliarse
almost,casi
alone,solo
along, a lo largo(prep)
alongside,junto a(prep) 
aloud,en voz alta 
alphabet,alfabeto 
alphabetical,alfabetico 
alphabetically,alfabeticamente 
already,ya 
also,tambien 
alter,alterar 
alternative,alternativo 
alternatively,alternativamente 
although,aunque
altogether,en general
always,siempre 
amaze,asombrar 
amazed,asombrado 
amazing,asombroso 
ambition,ambicion 
ambulance,ambulancia 
among,entre(prep) 
amount,cantidad
amuse,divertir 
amused,divertido 
amusing,divertido 
analyse,analizar 
analysis,analisis 
ancient,antiguo 
and,y 
anger,ira 
angle,angulo 
angrily,con ira 
angry,enfadado 
animal,animal 
ankle,tobillo 
anniversary,aniversario
announce,anunciar 
annoy,molestar 
annoyed,molesto 
annoying,molesto 
annual,anual 
annually,anualmente 
another,otro 
answer,respuesta  
anticipate,anticipar 
anxiety,ansiedad
anxious,ansioso 
anxiously,ansiosamente 
any,cualquier
anybody,cualquiera 
anyone,alguien 
anything,cualquier cosa
anyway,de todas formas 
anywhere,a cualquier lugar 
apart,separado 
apartment,apartamento 
apologize,disculparse 
apparent,evidente 
apparently,aparentemente 
appeal,pedir 
appear,aparecer 
appearance,apariencia 
apple,manzana 
application,aplicacion 
apply,solicitar 
appoint,nombrar 
appointment,cita 
appreciate,apreciar 
approach,acercarse
appropriate,apropiado 
approval,aprobacion 
approve,aprobar 
approving,aprobacion
approximate,aproximado 
approximately,aproximadamente 
april,abril 
area,area 
argue,discutir 
argument,argumento 
arise,surgir 
arm,brazo/arma 
armed,armado 
army,ejercito 
around,alrededor
arrange,ordenar 
arrangement,arreglo 
arrest,arrestar 
arrival,llegada 
arrive,llegar 
arrow,flecha 
art,arte 
article,articulo 
artificial,artificial 
artificially,artificialmente 
artist,artista 
artistic,artistico 
as,como 
ashamed,avergonzado 
aside,a un lado  
ask,preguntar 
asleep,dormido 
aspect,aspecto 
assist,asistir 
assistance,asistencia 
assistant,asistente 
associate,asociar  
association,asociacion 
assume,suponer 
assure,asegurar  
at,en/a(prep)  
atmosphere,atmosfera 
atom,atomo 
attach,atar/adjuntar
attached,unido/adjunto 
attack,atacar 
attempt,intentar 
attempted,intento 
attend,atender
attention,atencion 
attitude,actitud  
attract,atraer 
attraction,atraccion 
attractive,atractivo 
audience,audiencia 
august,agosto 
aunt,tia 
author,autor 
authority,autoridad
automatic,automatico 
automatically,automaticamente 
autumn,otoño 
available,disponible 
average,media 
avoid,evitar 
awake,despierto 
award,premio 
aware,consciente 
away,lejos
awful,horroroso 
awfully,terriblemente 
awkward,torpe 
awkwardly,torpemente
